filename,purpose,view,dimensions_or_viewBox,anchor_point,source_creator,license,status
assets/exports/world/ground-terrain-top.svg,ground-terrain,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/ground-terrain-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/ground-terrain-tilted.svg,ground-terrain,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/ground-terrain-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/ground-grass-top.svg,ground-grass,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/ground-grass-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/ground-grass-tilted.svg,ground-grass,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/ground-grass-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/paved-plaza-top.svg,paved-plaza,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/paved-plaza-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/paved-plaza-tilted.svg,paved-plaza,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/paved-plaza-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/sidewalk-top.svg,sidewalk,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/sidewalk-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/sidewalk-tilted.svg,sidewalk,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/sidewalk-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/road-straight-top.svg,road-straight,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/road-straight-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/road-straight-tilted.svg,road-straight,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/road-straight-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/road-corner-top.svg,road-corner,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/road-corner-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/road-corner-tilted.svg,road-corner,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/road-corner-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/road-intersection-top.svg,road-intersection,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/road-intersection-top.svg,Project-owned; redistribution license not specified,final
assets/exports/world/road-intersection-tilted.svg,road-intersection,tilted,0 0 320 218,"160,148 surface; 160,168 base",Original SVG by Codex; source: assets/sources/world/road-intersection-tilted.svg,Project-owned; redistribution license not specified,final
assets/exports/world/bus-lane-top.svg,bus-lane,top,0 0 256 256,"128,128",Original SVG by Codex; source: assets/sources/world/bus-lane-top.svg,Project-owned; redistribution license not specified,final
