filename,purpose,view,dimensions or viewBox,anchor point,source/creator,license,status
world/buildings/residential-house-top.svg,Decorative residential house cue,top,0 0 128 128,"64,64",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/residential-house-tilted.svg,Decorative residential house cue,tilted,0 0 128 128,"64,112",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/apartment-block-top.svg,Decorative apartment block cue,top,0 0 128 128,"64,64",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/apartment-block-tilted.svg,Decorative apartment block cue,tilted,0 0 128 128,"64,112",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/office-civic-top.svg,Decorative office or civic building cue,top,0 0 128 128,"64,64",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/office-civic-tilted.svg,Decorative office or civic building cue,tilted,0 0 128 128,"64,112",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/school-kindergarten-top.svg,Decorative school or kindergarten with play-yard cue,top,0 0 128 128,"64,64",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/school-kindergarten-tilted.svg,Decorative school or kindergarten with play-yard cue,tilted,0 0 128 128,"64,112",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/clinic-top.svg,Decorative clinic or family health centre cue,top,0 0 128 128,"64,64",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/clinic-tilted.svg,Decorative clinic or family health centre cue,tilted,0 0 128 128,"64,112",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/utility-cue-top.svg,Decorative city utility cabinet and pipe cue,top,0 0 128 128,"64,64",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/utility-cue-tilted.svg,Decorative city utility cabinet and pipe cue,tilted,0 0 128 128,"64,112",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/sports-court-top.svg,Decorative neighbourhood sports court cue,top,0 0 128 128,"64,64",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/sports-court-tilted.svg,Decorative neighbourhood sports court cue,tilted,0 0 128 128,"64,112",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/bus-stop-top.svg,Decorative bus stop shelter cue,top,0 0 128 128,"64,64",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/bus-stop-tilted.svg,Decorative bus stop shelter cue,tilted,0 0 128 128,"64,112",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/lrt-station-track-top.svg,Decorative LRT station and short track cue; no route claim,top,0 0 128 128,"64,64",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
world/buildings/lrt-station-track-tilted.svg,Decorative LRT station and short track cue; no route claim,tilted,0 0 128 128,"64,112",Original project artwork; no third-party source,Project-owned; redistribution license not specified,final
