"filename","purpose","view","dimensions","anchor_point","source_creator","license","status"
"sources/units/vehicles/bus-pair.png","Editable raster master for bus top and tilted","both","1774x887","source artwork; export anchors below","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/bus/top/down/frame-01.png","bus down movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/bus/top/left/frame-01.png","bus left movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/bus/top/up/frame-01.png","bus up movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/bus/top/right/frame-01.png","bus right movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/bus/tilted/forward/frame-01.png","bus tilted movement still","tilted","256x256","128,240","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/bus/atlas.png","bus five-cell atlas: down,left,up,right,tilted","both","1280x256; five 256x256 cells","top 128,128; tilted 128,240","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"sources/units/vehicles/car-pair.png","Editable raster master for car top and tilted","both","1774x887","source artwork; export anchors below","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/car/top/down/frame-01.png","car down movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/car/top/left/frame-01.png","car left movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/car/top/up/frame-01.png","car up movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/car/top/right/frame-01.png","car right movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/car/tilted/forward/frame-01.png","car tilted movement still","tilted","256x256","128,240","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/car/atlas.png","car five-cell atlas: down,left,up,right,tilted","both","1280x256; five 256x256 cells","top 128,128; tilted 128,240","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"sources/units/vehicles/lrt-pair.png","Editable raster master for lrt top and tilted","both","1774x887","source artwork; export anchors below","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/lrt/top/down/frame-01.png","lrt down movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/lrt/top/left/frame-01.png","lrt left movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/lrt/top/up/frame-01.png","lrt up movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/lrt/top/right/frame-01.png","lrt right movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/lrt/tilted/forward/frame-01.png","lrt tilted movement still","tilted","256x256","128,240","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/lrt/atlas.png","lrt five-cell atlas: down,left,up,right,tilted","both","1280x256; five 256x256 cells","top 128,128; tilted 128,240","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"sources/units/vehicles/service-van-pair.png","Editable raster master for service-van top and tilted","both","1774x887","source artwork; export anchors below","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/service-van/top/down/frame-01.png","service-van down movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/service-van/top/left/frame-01.png","service-van left movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/service-van/top/up/frame-01.png","service-van up movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/service-van/top/right/frame-01.png","service-van right movement still","top","256x256","128,128","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/service-van/tilted/forward/frame-01.png","service-van tilted movement still","tilted","256x256","128,240","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
"exports/units/vehicles/service-van/atlas.png","service-van five-cell atlas: down,left,up,right,tilted","both","1280x256; five 256x256 cells","top 128,128; tilted 128,240","OpenAI imagegen; Codex sprite packaging","Project-owned; redistribution license not specified","final"
