filename,purpose,view,dimensions_or_viewBox,anchor_point,source_creator,license,status
assets/sources/characters/mayor-source.png,editable raster source sheet; mayor; 2x2 pose grid,tilted,1221x1289,"per frame after export: 64,124",OpenAI image generation; project direction,Project-owned; redistribution license not specified,final-source
assets/exports/characters/mayor-sheet.png,game sprite sheet; mayor; frames: idle|selecting|thinking|celebrating,tilted,512x128; 4 frames of 128x128,"64,124 in each frame",Derived from mayor-source.png,Project-owned; redistribution license not specified,final
assets/exports/characters/mayor-still.png,reduced-motion still; mayor; idle,tilted,128x128,"64,124",Derived from mayor-source.png,Project-owned; redistribution license not specified,final
assets/sources/characters/citizen-01-source.png,editable raster source sheet; citizen-01; 2x2 pose grid,tilted,1247x1261,"per frame after export: 64,124",OpenAI image generation; project direction,Project-owned; redistribution license not specified,final-source
assets/exports/characters/citizen-01-sheet.png,game sprite sheet; citizen-01; frames: idle|walk|positive|concerned,tilted,512x128; 4 frames of 128x128,"64,124 in each frame",Derived from citizen-01-source.png,Project-owned; redistribution license not specified,final
assets/exports/characters/citizen-01-still.png,reduced-motion still; citizen-01; idle,tilted,128x128,"64,124",Derived from citizen-01-source.png,Project-owned; redistribution license not specified,final
assets/sources/characters/citizen-02-source.png,editable raster source sheet; citizen-02; 2x2 pose grid,tilted,1206x1304,"per frame after export: 64,124",OpenAI image generation; project direction,Project-owned; redistribution license not specified,final-source
assets/exports/characters/citizen-02-sheet.png,game sprite sheet; citizen-02; frames: idle|walk|positive|concerned,tilted,512x128; 4 frames of 128x128,"64,124 in each frame",Derived from citizen-02-source.png,Project-owned; redistribution license not specified,final
assets/exports/characters/citizen-02-still.png,reduced-motion still; citizen-02; idle,tilted,128x128,"64,124",Derived from citizen-02-source.png,Project-owned; redistribution license not specified,final
assets/sources/characters/citizen-03-source.png,editable raster source sheet; citizen-03; 2x2 pose grid,tilted,1145x1374,"per frame after export: 64,124",OpenAI image generation; project direction,Project-owned; redistribution license not specified,final-source
assets/exports/characters/citizen-03-sheet.png,game sprite sheet; citizen-03; frames: idle|walk|positive|concerned,tilted,512x128; 4 frames of 128x128,"64,124 in each frame",Derived from citizen-03-source.png,Project-owned; redistribution license not specified,final
assets/exports/characters/citizen-03-still.png,reduced-motion still; citizen-03; idle,tilted,128x128,"64,124",Derived from citizen-03-source.png,Project-owned; redistribution license not specified,final
assets/sources/characters/maintenance-source.png,editable raster source sheet; maintenance; 2x2 pose grid,tilted,1374x1145,"per frame after export: 64,124",OpenAI image generation; project direction,Project-owned; redistribution license not specified,final-source
assets/exports/characters/maintenance-sheet.png,game sprite sheet; maintenance; frames: idle|walk|active|alert,tilted,512x128; 4 frames of 128x128,"64,124 in each frame",Derived from maintenance-source.png,Project-owned; redistribution license not specified,final
assets/exports/characters/maintenance-still.png,reduced-motion still; maintenance; idle,tilted,128x128,"64,124",Derived from maintenance-source.png,Project-owned; redistribution license not specified,final
assets/sources/characters/emergency-source.png,editable raster source sheet; emergency; 2x2 pose grid,tilted,1214x1295,"per frame after export: 64,124",OpenAI image generation; project direction,Project-owned; redistribution license not specified,final-source
assets/exports/characters/emergency-sheet.png,game sprite sheet; emergency; frames: idle|walk|active|alert,tilted,512x128; 4 frames of 128x128,"64,124 in each frame",Derived from emergency-source.png,Project-owned; redistribution license not specified,final
assets/exports/characters/emergency-still.png,reduced-motion still; emergency; idle,tilted,128x128,"64,124",Derived from emergency-source.png,Project-owned; redistribution license not specified,final
